Stimulus;Initial group;Voice;CR/WR/V/Q;Textual agreement %;Audial agreement %;Textual agreement value;Audial agreement value;Experimental values (V-Neg/Q-Neg/C-Neg);Values;Experimental %;Experimental answer;Agrees with intended;Agrees with textual;Agrees with audial;Based on textual annotation, these are the groups
Departure;V;1;CR;90%;44.44%;V;VP;Q;8;32.00%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;1;CR;90%;44.44%;V;VP;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;CR;100%;44.44%;V;NEG;V;21;91.30%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;CR;100%;44.44%;V;NEG;Q;2;8.70%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;CR;100%;44.44%;V;NEG;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;CR;85%;67%;V;NEG;V;13;59.09%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;CR;85%;67%;V;NEG;Q;8;36.36%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;CR;85%;67%;V;NEG;C;1;4.55%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;CR;100%;75%;V;VInf;V;24;77.42%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;CR;100%;75%;V;VInf;Q;7;22.58%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;CR;100%;75%;V;VInf;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
New York;V;2;CR;65%;71.42%;Q;NEG;V;17;58.62%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;2;CR;65%;71.42%;Q;NEG;Q;11;37.93%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;2;CR;65%;71.42%;Q;NEG;C;1;3.45%;V;Yes for intended;No for text;No for audio;Q-Amb
Departure;V;2;CR;90%;55.55%;V;N;V;21;75.00%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;2;CR;90%;55.55%;V;N;Q;6;21.43%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;2;CR;90%;55.55%;V;N;C;1;3.57%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;CR;100%;25.00%;V;NEG;V;29;96.67%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;CR;100%;25.00%;V;NEG;Q;1;3.33%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;CR;100%;25.00%;V;NEG;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;1;WR;85%;62.50%;V;Q;V;11;42.31%;Q;No for intended;No for text;Yes for audio;V
Traditions;V;1;WR;85%;62.50%;V;Q;Q;13;50.00%;Q;No for intended;No for text;Yes for audio;V
Traditions;V;1;WR;85%;62.50%;V;Q;C;2;7.69%;Q;No for intended;No for text;Yes for audio;V
Realize;V;1;WR;100%;50%;V;C;V;19;65.52%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;1;WR;100%;50%;V;C;Q;10;34.48%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;1;WR;100%;50%;V;C;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
New York;V;1;WR;65%;75%;Q;Q;V;8;24.24%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
New York;V;1;WR;65%;75%;Q;Q;Q;24;72.73%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
New York;V;1;WR;65%;75%;Q;Q;C;1;3.03%;Q;No for intended;Yes for text;Yes for audio;Q-Amb
Departure;V;1;WR;90%;87.50%;V;Q;V;18;72.00%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;1;WR;90%;87.50%;V;Q;Q;7;28.00%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;1;WR;90%;87.50%;V;Q;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;WR;100%;57%;V;C;V;25;86.21%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;WR;100%;57%;V;C;Q;4;13.79%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;1;WR;100%;57%;V;C;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;WR;85%;85.71%;V;Q;V;16;59.26%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;WR;85%;85.71%;V;Q;Q;10;37.04%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;2;WR;85%;85.71%;V;Q;C;1;3.70%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;WR;100%;37.50%;V;Q;V;12;50.00%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;WR;100%;37.50%;V;Q;Q;10;41.67%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;2;WR;100%;37.50%;V;Q;C;2;8.33%;V;Yes for intended;Yes for text;No for audio;V
New York;V;2;WR;65%;87.50%;Q;Q;V;10;52.63%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;2;WR;65%;87.50%;Q;Q;Q;9;47.37%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;2;WR;65%;87.50%;Q;Q;C;0;0.00%;V;Yes for intended;No for text;No for audio;Q-Amb
Departure;V;2;WR;90%;87.50%;V;Q;V;14;51.85%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;2;WR;90%;87.50%;V;Q;Q;13;48.15%;V;Yes for intended;Yes for text;No for audio;V
Departure;V;2;WR;90%;87.50%;V;Q;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;WR;100%;75%;V;Q;V;21;100.00%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;WR;100%;75%;V;Q;Q;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
Patient;V;2;WR;100%;75%;V;Q;C;0;0.00%;V;Yes for intended;Yes for text;No for audio;V
