Word,Ambiguity,Negation group,Intended stress,Reading,Experimental answers breakdown (NM),,Percentage of total,Total answers,Experimental answers breakdown (VY),,Percentage of total,Total answers,Experimental answers breakdown (Overall),,Percentage of total,Total answers,Multiple choices breakdown,Percentage of total,Total answers,% of annotators answered according to expectations (NM),"Inter-annotator agreement rating (Fleiss' Kappa, random) (NM)",% of annotators answered according to expectations (VY),"Inter-annotator agreement rating (Fleiss' Kappa, random) (VY)"
,,,,WR,Quantifier negated,25,96.15%,26,Quantifier negated,25,96.15%,26,Quantifier negated,50,96.15%,52,,,0,60,-0.2,60,-0.2
,,,,,Fully negated,0,0.00%,,Fully negated,1,3.85%,,Fully negated,1,1.92%,,,,,,,,
,,,,,Clause negated,1,3.85%,,Clause negated,0,0.00%,,Clause negated,1,1.92%,,,,,,,,
Panorama,Unambiguous,Q,Q,CR,Quantifier negated,5,16.13%,31,Quantifier negated,3,15.00%,20,Quantifier negated,8,15.69%,51,3,13.04%,23,80,0.2,80,0.2
,,,,,Fully negated,26,83.87%,,Fully negated,17,85.00%,,Fully negated,43,84.31%,,19,82.61%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,1,4.35%,,,,,
,,,,WR,Quantifier negated,6,22.22%,27,Quantifier negated,1,3.57%,28,Quantifier negated,7,12.73%,55,,,0,100,1,100,1
,,,,,Fully negated,21,77.78%,,Fully negated,27,96.43%,,Fully negated,48,87.27%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Numbers,Unambiguous,Q,Q,CR,Quantifier negated,1,4.76%,21,Quantifier negated,2,6.45%,31,Quantifier negated,3,5.77%,52,5,20.83%,24,100,1,100,1
,,,,,Fully negated,20,95.24%,,Fully negated,28,90.32%,,Fully negated,48,92.31%,,17,70.83%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,1,3.23%,,Clause negated,1,1.92%,,2,8.33%,,,,,
,,,,WR,Quantifier negated,7,24.14%,29,Quantifier negated,1,3.85%,26,Quantifier negated,8,14.55%,55,,,0,100,1,100,1
,,,,,Fully negated,21,72.41%,,Fully negated,20,76.92%,,Fully negated,41,74.55%,,,,,,,,
,,,,,Clause negated,1,3.45%,,Clause negated,5,19.23%,,Clause negated,6,10.91%,,,,,,,,
Gamma,Unambiguous,Q,Q,CR,Quantifier negated,3,10.00%,30,Quantifier negated,1,4.55%,22,Quantifier negated,4,7.69%,52,1,4.55%,22,80,0.2,80,0.2
,,,,,Fully negated,27,90.00%,,Fully negated,20,90.91%,,Fully negated,47,90.38%,,20,90.91%,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,1,4.55%,,Clause negated,1,1.92%,,1,4.55%,,,,,
,,,,WR,Quantifier negated,0,0.00%,28,Quantifier negated,3,11.11%,27,Quantifier negated,3,5.45%,55,,,0,100,1,100,1
,,,,,Fully negated,28,100.00%,,Fully negated,24,88.89%,,Fully negated,52,94.55%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,Clause negated,0,0.00%,,,,,,,,
Sequence,Unambiguous,Q,Q,CR,Quantifier negated,2,9.52%,21,Quantifier negated,4,12.12%,33,Quantifier negated,6,11.11%,54,5,20.00%,25,100,1,100,1
,,,,,Fully negated,18,85.71%,,Fully negated,29,87.88%,,Fully negated,47,87.04%,,19,76.00%,,,,,
,,,,,Clause negated,1,4.76%,,Clause negated,0,0.00%,,Clause negated,1,1.85%,,1,4.00%,,,,,
,,,,WR,Quantifier negated,1,3.45%,29,Quantifier negated,1,3.85%,26,Quantifier negated,2,3.64%,55,,,0,100,1,100,1
,,,,,Fully negated,27,93.10%,,Fully negated,25,96.15%,,Fully negated,52,94.55%,,,,,,,,
,,,,,Clause negated,1,3.45%,,Clause negated,0,0.00%,,Clause negated,1,1.82%,,,,,,,,
Distribution,Unambiguous,Q,Q,CR,Quantifier negated,3,11.11%,27,Quantifier negated,3,10.71%,28,Quantifier negated,6,10.91%,55,4,17.39%,23,100,1,100,1
,,,,,Fully negated,23,85.19%,,Fully negated,25,89.29%,,Fully negated,48,87.27%,,18,78.26%,,,,,
,,,,,Clause negated,1,3.70%,,Clause negated,0,0.00%,,Clause negated,1,1.82%,,1,4.35%,,,,,
,,,,WR,Quantifier negated,5,18.52%,27,Quantifier negated,9,37.50%,24,Quantifier negated,14,27.45%,51,,,0,100,1,100,1
,,,,,Fully negated,22,81.48%,,Fully negated,14,58.33%,,Fully negated,36,70.59%,,,,,,,,
,,,,,Clause negated,0,0.00%,,Clause negated,1,4.17%,,Clause negated,1,1.96%,,,,,,,,
